A,B,C,D
130.202315927,1.94962663854,45.32733,0.31478
149.906769515,2.9182058012,44.51848,0.07224
105.10450014,1.73655985443,44.32612,0.01430
98.7179902652,1.61817345754,44.69770,0.00526
125.08947746,2.48590314417,44.30242,0.01505
87.6630656849,1.85892141408,44.83574,0.05485
87.2936690686,2.13580221911,44.57033,0.17767
127.47236906,1.73291800458,44.30397,0.01228
127.449660365,2.29400917308,44.43193,0.06483
135.415959646,2.1309840655,44.75459,0.12151
108.173489795,2.52985943909,44.69916,0.00716
101.057148456,2.10684960335,44.88584,0.00441
103.470655598,2.08617717884,44.43886,0.04585
100.57597302,1.76524395179,44.10607,0.01557
149.282667002,2.40229708479,44.28278,0.01757
135.54588888,2.21651768727,45.03406,0.09969
65.13084136,1.8066523732,44.28599,0.01597
160.199001421,3.0530809716,44.51935,0.04301
112.908715709,2.34308765448,44.25256,0.10655
117.786018854,1.73286060106,44.13888,0.00574
166.444608372,2.80643175001,44.97359,0.00946
91.563931227,1.74622222923,44.90593,0.06272
121.327412845,1.75396303655,45.67979,0.04363
114.224625789,2.93438463233,44.45743,0.15649
11.4036720654,1.61119525525,44.54183,0.15627
88.1767102064,1.80187213822,44.59501,0.01820
140.936177195,2.4559238188,44.69004,0.12009
120.900638548,1.82889180429,44.78482,0.06524
134.788222851,1.71812530821,45.22008,0.00226
116.876447832,2.13323174311,44.67030,0.03193
130.833114935,2.2455856241,44.23784,0.03453
135.028287878,2.99230045495,44.59427,0.01393
114.295519191,2.85962424605,44.80879,0.10226
162.373387762,1.70956421095,44.75154,0.03959
106.612696635,1.96845921804,44.08426,0.00873
108.937633323,1.8628222305,44.34647,0.03277
119.102896264,3.12687507836,44.41080,0.01227
116.056144307,1.93196092464,44.44258,0.00593
140.883506561,1.96940087924,44.48394,0.15534
117.941800729,1.75148263269,45.03598,0.02793
116.227187073,2.41770140549,44.61065,0.02132
111.469344735,2.70417583541,44.70652,0.13905
110.19565035,2.02800632368,44.83296,0.01951
114.965387719,1.76971408513,44.32271,0.06382
122.496410302,2.31085225488,44.84746,0.00146
120.325297781,1.62161631622,44.66365,0.03441
148.826464907,2.80303121502,44.76287,0.06689
130.225055654,2.03321372888,45.10199,0.00391
262.52652396,2.48683045357,44.64622,0.00626
114.865087145,2.64951020942,44.87745,0.06418
159.847903216,1.59079683599,44.09679,0.00879
62.3279918567,1.64188681991,44.27269,0.00944
109.335338247,2.21061461927,44.44430,0.08075
123.276934583,2.86843724152,44.93558,0.01528
112.524767771,2.27718709127,44.09816,0.00921
104.313460197,1.82470937714,44.33125,0.02216
113.442915048,1.80553482412,44.44104,0.01539
133.151339757,2.07257025472,44.33125,0.02216
98.5272824763,1.79932918381,44.44104,0.01539
105.857995225,1.97132986776,44.88637,0.11872
102.929584014,2.77103741618,44.30239,0.05533
138.219053222,1.88763924462,44.22117,0.12941
130.564146671,1.87797237969,44.76188,0.11883
262.777953639,2.19096253671,45.09383,0.02369
121.125522556,1.77137560293,44.44021,0.05336
101.75023925,2.06525413472,44.54921,0.06313
100.952530475,1.66280853909,44.65970,0.01427
91.2962261947,1.90234645505,44.79900,0.00287
118.548070679,1.6353324554,44.18964,0.16066
100.190161895,1.67382981876,44.25669,0.01856
114.289305411,1.71988489065,44.35819,0.03576
115.138407315,2.09102770739,44.91202,0.08730
93.1840013116,1.79507737242,45.05713,0.05654
124.917344055,2.42517405447,44.56043,0.21451
98.4336803566,2.09799358711,44.78145,0.09942
117.941504815,1.71711267622,44.77507,0.07369
79.302025457,2.3185719321,44.36424,0.00708
142.622397587,2.06066563754,44.17580,0.04911
125.12240504,1.57147462246,44.40151,0.00523
101.864754072,1.80994766317,44.20654,0.02390
125.64601555,1.64012032319,44.59746,0.00671
,,44.17015,0.06091
,,44.31297,0.01773
,,44.52867,0.01500
,,44.68251,0.01940
